Tri,TriSig,Dex,DexSig
3911.5,0.02122,3911.5,0.01769
3911,0.02017,3911,0.01186
3910.5,0.01847,3910.5,0.00699
3910,0.01586,3910,0.01709
3909.5,0.01433,3909.5,0.02715
3909,0.01481,3909,0.02867
3908.5,0.01824,3908.5,0.0252
3908,0.02248,3908,0.02129
3907.5,0.0235,3907.5,0.02214
3907,0.01946,3907,0.02209
3906.5,0.02097,3906.5,0.02107
3906,0.02653,3906,0.01485
3905.5,0.0225,3905.5,0.00314
3905,0.01536,3905,0.00097
3904.5,0.01951,3904.5,0.00897
3904,0.02627,3904,0.01661
3903.5,0.02592,3903.5,0.0201
3903,0.02633,3903,0.02367
3902.5,0.03491,3902.5,0.02835
3902,0.03396,3902,0.03269
3901.5,0.03059,3901.5,0.03803
3901,0.03195,3901,0.02622
3900.5,0.02942,3900.5,0.01751
3900,0.02623,3900,0.01907
3899.5,0.0198,3899.5,0.01832
3899,0.00575,3899,0.00683
3898.5,0.01094,3898.5,0.00115
3898,0.0268,3898,0.00973
3897.5,0.03059,3897.5,0.02097
3897,0.02358,3897,0.02377
3896.5,0.01255,3896.5,0.02049
3896,0.01325,3896,0.01939
3895.5,0.02732,3895.5,0.01754
3895,0.03102,3895,0.01743
3894.5,0.02185,3894.5,0.02109
3894,0.01741,3894,0.02085
3893.5,0.02234,3893.5,0.02265
3893,0.02932,3893,0.02325
3892.5,0.03282,3892.5,0.02174
3892,0.02793,3892,0.01999
3891.5,0.02485,3891.5,0.01535
3891,0.03404,3891,0.01949
3890.5,0.03189,3890.5,0.01718
3890,0.02893,3890,0.01367
3889.5,0.03099,3889.5,0.01084
3889,0.01603,3889,0.0029
3888.5,0.01397,3888.5,0.01177
3888,0.02645,3888,0.0229
3887.5,0.0249,3887.5,0.01802
3887,0.01691,3887,0.0151
3886.5,0.01028,3886.5,0.00947
3886,-0.00043,3886,0.00018
3885.5,0.00784,3885.5,0.00459
3885,0.02307,3885,0.01332
3884.5,0.03456,3884.5,0.02243
3884,0.03047,3884,0.01754
3883.5,0.0216,3883.5,0.01345
3883,0.02002,3883,0.01545
3882.5,0.01486,3882.5,0.00839
3882,0.02303,3882,0.01611
3881.5,0.03215,3881.5,0.02753
3881,0.02953,3881,0.02762
3880.5,0.02084,3880.5,0.01949
3880,0.01974,3880,0.01633
3879.5,0.03387,3879.5,0.02872
3879,0.0439,3879,0.0362
3878.5,0.04241,3878.5,0.03549
3878,0.03371,3878,0.03439
3877.5,0.02462,3877.5,0.0235
3877,0.02343,3877,0.01121
3876.5,0.02668,3876.5,0.01683
3876,0.0253,3876,0.026
3875.5,0.02337,3875.5,0.0286
3875,0.02119,3875,0.02593
3874.5,0.01989,3874.5,0.00812
3874,0.02335,3874,-0.00006
3873.5,0.01904,3873.5,0.00608
3873,0.00905,3873,0.00454
3872.5,0.01119,3872.5,0.00872
3872,0.01962,3872,0.01806
3871.5,0.0247,3871.5,0.02273
3871,0.01759,3871,0.0217
3870.5,0.01109,3870.5,0.00805
3870,0.02222,3870,0.00674
3869.5,0.03344,3869.5,0.01849
3869,0.03232,3869,0.0218
3868.5,0.0259,3868.5,0.01294
3868,0.03229,3868,0.01475
3867.5,0.03207,3867.5,0.01475
3867,0.01746,3867,0.00459
3866.5,0.01629,3866.5,0.01367
3866,0.02455,3866,0.02975
3865.5,0.0318,3865.5,0.02847
3865,0.03501,3865,0.02277
3864.5,0.02528,3864.5,0.01631
3864,0.01744,3864,0.01445
3863.5,0.02588,3863.5,0.02992
3863,0.03349,3863,0.02703
3862.5,0.02587,3862.5,0.0126
3862,0.01638,3862,0.01186
3861.5,0.0155,3861.5,0.01536
3861,0.01678,3861,0.0153
3860.5,0.01721,3860.5,0.00935
3860,0.02069,3860,0.01628
3859.5,0.0252,3859.5,0.02655
3859,0.01874,3859,0.02107
3858.5,0.01427,3858.5,0.01681
3858,0.02135,3858,0.01782
3857.5,0.02505,3857.5,0.01896
3857,0.02403,3857,0.01904
3856.5,0.02475,3856.5,0.01932
3856,0.02232,3856,0.02135
3855.5,0.0283,3855.5,0.02878
3855,0.04134,3855,0.03359
3854.5,0.04001,3854.5,0.02723
3854,0.0198,3854,0.02084
3853.5,0.01227,3853.5,0.01714
3853,0.01565,3853,0.00573
3852.5,0.02142,3852.5,0.00309
3852,0.03222,3852,0.0099
3851.5,0.03154,3851.5,0.00857
3851,0.02683,3851,0.01118
3850.5,0.0363,3850.5,0.0273
3850,0.03471,3850,0.0196
3849.5,0.03085,3849.5,0.00761
3849,0.03004,3849,0.00719
3848.5,0.02543,3848.5,0.00673
3848,0.0159,3848,0.01221
3847.5,0.01701,3847.5,0.01593
3847,0.02052,3847,0.01598
3846.5,0.02425,3846.5,0.02217
